"","YAG","region","SECTIONNAME","trained_in_region","number_of_providers","subject_name","living_in_region","earnings_median","difference","difference_prop"
"172",1,"West Midlands","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2315,22,"All",2240,16100,-75,-0.0323974082073434
"173",1,"West Midlands","NOT KNOWN",485,17,"All",490,16400,5,0.0103092783505155
"174",1,"Yorkshire and the Humber","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1160,28,"All",960,13900,-200,-0.172413793103448
"175",1,"Yorkshire and the Humber","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",NA,NA,NA,NA
"176",1,"Yorkshire and the Humber","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",25,11,"All",25,11700,0,0
"177",1,"Yorkshire and the Humber","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1755,25,"All",1225,17900,-530,-0.301994301994302
"178",1,"Yorkshire and the Humber","AGRICULTURE, FORESTRY AND FISHING",30,10,"All",40,14600,10,0.333333333333333
"179",1,"Yorkshire and the Humber","ARTS, ENTERTAINMENT AND RECREATION",515,25,"All",415,16400,-100,-0.194174757281553
"180",1,"Yorkshire and the Humber","CONSTRUCTION",325,21,"All",245,24100,-80,-0.246153846153846
"181",1,"Yorkshire and the Humber","EDUCATION",2330,29,"All",2070,18200,-260,-0.111587982832618
"182",1,"Yorkshire and the Humber","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",65,11,"All",45,21500,-20,-0.307692307692308
"183",1,"Yorkshire and the Humber","FINANCIAL AND INSURANCE ACTIVITIES",915,19,"All",645,19700,-270,-0.295081967213115
"184",1,"Yorkshire and the Humber","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",4005,30,"All",3500,23700,-505,-0.126092384519351
"185",1,"Yorkshire and the Humber","INFORMATION AND COMMUNICATION",1270,24,"All",780,21500,-490,-0.385826771653543
"186",1,"Yorkshire and the Humber","MANUFACTURING",1170,28,"All",825,22300,-345,-0.294871794871795
"187",1,"Yorkshire and the Humber","MINING AND QUARRYING",0,1,"All",0,-10000,0,NA
"188",1,"Yorkshire and the Humber","OTHER SERVICE ACTIVITIES",260,17,"All",180,17900,-80,-0.307692307692308
"189",1,"Yorkshire and the Humber","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2580,24,"All",1760,19700,-820,-0.317829457364341
"190",1,"Yorkshire and the Humber","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",610,24,"All",560,21900,-50,-0.0819672131147541
"191",1,"Yorkshire and the Humber","REAL ESTATE ACTIVITIES",250,20,"All",170,18200,-80,-0.32
"192",1,"Yorkshire and the Humber","TRANSPORTATION AND STORAGE",345,21,"All",235,21900,-110,-0.318840579710145
"193",1,"Yorkshire and the Humber","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",80,14,"All",55,20400,-25,-0.3125
"194",1,"Yorkshire and the Humber","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2725,30,"All",2165,16400,-560,-0.205504587155963
"195",1,"Yorkshire and the Humber","NOT KNOWN",595,24,"All",490,16100,-105,-0.176470588235294
"196",3,"East Midlands","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",520,16,"All",420,17200,-100,-0.192307692307692
"197",3,"East Midlands","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",NA,NA,NA,NA
"198",3,"East Midlands","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",20,7,"All",10,-10000,-10,-0.5
"199",3,"East Midlands","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1240,16,"All",815,20800,-425,-0.342741935483871
"200",3,"East Midlands","AGRICULTURE, FORESTRY AND FISHING",40,9,"All",40,19000,0,0
"201",3,"East Midlands","ARTS, ENTERTAINMENT AND RECREATION",405,16,"All",265,19000,-140,-0.345679012345679
"202",3,"East Midlands","CONSTRUCTION",465,13,"All",255,31000,-210,-0.451612903225806
"203",3,"East Midlands","EDUCATION",2525,19,"All",2425,23000,-100,-0.0396039603960396
"204",3,"East Midlands","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",85,11,"All",75,26100,-10,-0.117647058823529
"205",3,"East Midlands","FINANCIAL AND INSURANCE ACTIVITIES",950,14,"All",450,23700,-500,-0.526315789473684
"206",3,"East Midlands","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2755,17,"All",2475,25200,-280,-0.101633393829401
"207",3,"East Midlands","INFORMATION AND COMMUNICATION",1330,17,"All",765,27400,-565,-0.424812030075188
"208",3,"East Midlands","MANUFACTURING",1065,18,"All",925,29200,-140,-0.131455399061033
"209",3,"East Midlands","MINING AND QUARRYING",15,6,"All",10,-10000,-5,-0.333333333333333
"210",3,"East Midlands","OTHER SERVICE ACTIVITIES",295,14,"All",170,20800,-125,-0.423728813559322
"211",3,"East Midlands","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3060,17,"All",1475,25600,-1585,-0.51797385620915
"212",3,"East Midlands","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",835,18,"All",620,24100,-215,-0.25748502994012
"213",3,"East Midlands","REAL ESTATE ACTIVITIES",220,14,"All",130,23700,-90,-0.409090909090909
"214",3,"East Midlands","TRANSPORTATION AND STORAGE",355,15,"All",265,26300,-90,-0.253521126760563
"215",3,"East Midlands","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",65,10,"All",55,24900,-10,-0.153846153846154
"216",3,"East Midlands","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2230,18,"All",1625,20800,-605,-0.271300448430493
"217",3,"East Midlands","NOT KNOWN",505,14,"All",360,20400,-145,-0.287128712871287
"218",3,"East of England","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",335,12,"All",520,18600,185,0.552238805970149
"219",3,"East of England","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",0,-10000,0,NA
"220",3,"East of England","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",10,6,"All",20,23800,10,1
"221",3,"East of England","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",770,12,"All",1160,24800,390,0.506493506493506
"222",3,"East of England","AGRICULTURE, FORESTRY AND FISHING",15,7,"All",50,19900,35,2.33333333333333
"223",3,"East of England","ARTS, ENTERTAINMENT AND RECREATION",270,12,"All",375,20800,105,0.388888888888889
