"","X","sex.x","subject_name.x","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"21",21,"F","Education and teaching",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",969,"First degree"
"22",22,"M","Sport and exercise sciences",3,"EDUCATION",5,"EDUCATION",627,"First degree"
"23",23,"F","Psychology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1636,"First degree"
"24",24,"M","Education and teaching",3,"EDUCATION",5,"EDUCATION",167,"First degree"
"25",25,"M","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",235,"First degree"
"26",26,"M","Architecture, building and planning",3,"CONSTRUCTION",5,"CONSTRUCTION",1438,"First degree"
"27",27,"F","Performing arts",3,"EDUCATION",5,"EDUCATION",185,"First degree"
"28",28,"F","Sociology, social policy and anthropology",3,"EDUCATION",5,"EDUCATION",861,"First degree"
"29",29,"M","Business and management",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",2187,"First degree"
"30",30,"M","Business and management",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1066,"First degree"
"31",31,"F","Business and management",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",948,"First degree"
"32",32,"F","Business and management",3,"EDUCATION",5,"EDUCATION",3135,"First degree"
"33",33,"F","Creative arts and design",3,"EDUCATION",5,"EDUCATION",2977,"First degree"
"34",34,"F","History and archaeology",3,"EDUCATION",5,"EDUCATION",653,"First degree"
"35",35,"M","Architecture, building and planning",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1145,"First degree"
"36",36,"M","Economics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1905,"First degree"
"37",37,"M","Creative arts and design",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",44,"First degree"
"38",38,"F","Sport and exercise sciences",3,"EDUCATION",5,"EDUCATION",1778,"First degree"
"39",39,"F","Creative arts and design",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1184,"First degree"
"40",40,"M","Economics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",351,"First degree"
"41",41,"F","Sociology, social policy and anthropology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",797,"First degree"
"42",42,"M","Business and management",3,"MANUFACTURING",5,"MANUFACTURING",2424,"First degree"
"43",43,"F","English studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1194,"First degree"
"44",44,"F","Sociology, social policy and anthropology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",2121,"First degree"
"45",45,"F","Business and management",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1971,"First degree"
"46",46,"M","Computing",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1116,"First degree"
"47",47,"F","Languages and area studies",3,"EDUCATION",5,"EDUCATION",703,"First degree"
"48",48,"M","Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",744,"First degree"
"49",49,"M","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",243,"First degree"
"50",50,"F","Business and management",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",2469,"First degree"
"51",51,"F","English studies",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1829,"First degree"
"52",52,"M","Media, journalism and communications",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1510,"First degree"
"53",53,"M","Creative arts and design",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",173,"First degree"
"54",54,"F","History and archaeology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",160,"First degree"
"55",55,"F","Business and management",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",20,"First degree"
"56",56,"F","Medical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1612,"First degree"
"57",57,"F","Languages and area studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",530,"First degree"
"58",58,"M","History and archaeology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1707,"First degree"
"59",59,"M","Computing",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",112,"First degree"
"60",60,"M","Mathematical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1172,"First degree"
"61",61,"F","Combined and general studies",3,"EDUCATION",5,"EDUCATION",780,"First degree"
"62",62,"F","Biosciences",3,"EDUCATION",5,"EDUCATION",1564,"First degree"
"63",63,"M","Allied health",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",597,"First degree"
"64",64,"F","Business and management",3,"MANUFACTURING",5,"MANUFACTURING",1567,"First degree"
"65",65,"M","Creative arts and design",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1388,"First degree"
"66",66,"F","English studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",553,"First degree"
"67",67,"F","Geography, earth and environmental studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",44,"First degree"
"68",68,"M","Business and management",3,"TRANSPORTATION AND STORAGE",5,"TRANSPORTATION AND STORAGE",289,"First degree"
"69",69,"F","Biosciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",328,"First degree"
"70",70,"F","Mathematical sciences",3,"EDUCATION",5,"EDUCATION",1289,"First degree"
"71",71,"F","Media, journalism and communications",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",2248,"First degree"
"72",72,"F","Biosciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",374,"First degree"
"73",73,"F","Media, journalism and communications",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1548,"First degree"
"74",74,"M","Business and management",3,"EDUCATION",5,"EDUCATION",251,"First degree"
"75",75,"M","Engineering",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",948,"First degree"
"76",76,"F","Sociology, social policy and anthropology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",678,"First degree"
"77",77,"M","Engineering",3,"CONSTRUCTION",5,"CONSTRUCTION",450,"First degree"
"78",78,"F","Creative arts and design",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",693,"First degree"
"79",79,"M","Media, journalism and communications",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",135,"First degree"
"80",80,"F","Geography, earth and environmental studies",3,"EDUCATION",5,"EDUCATION",1895,"First degree"
"81",81,"F","Media, journalism and communications",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",476,"First degree"
"82",82,"F","Psychology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1076,"First degree"
"83",83,"F","Psychology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1850,"First degree"
"84",84,"M","Sport and exercise sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",887,"First degree"
"85",85,"F","Allied health",3,"EDUCATION",5,"EDUCATION",578,"First degree"
"86",86,"F","Business and management",3,"TRANSPORTATION AND STORAGE",5,"TRANSPORTATION AND STORAGE",55,"First degree"
"87",87,"F","Creative arts and design",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1543,"First degree"
"88",88,"M","Nursing and midwifery",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",953,"First degree"
"89",89,"M","History and archaeology",3,"EDUCATION",5,"EDUCATION",1740,"First degree"
"90",90,"M","Computing",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",932,"First degree"
"91",91,"M","Engineering",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1468,"First degree"
"92",92,"F","Sociology, social policy and anthropology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",674,"First degree"
"93",93,"M","English studies",3,"EDUCATION",5,"EDUCATION",84,"First degree"
"94",94,"F","Creative arts and design",3,"MANUFACTURING",5,"MANUFACTURING",2057,"First degree"
"95",95,"M","Politics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",575,"First degree"
"96",96,"F","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",671,"First degree"
"97",97,"M","Sport and exercise sciences",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",1071,"First degree"
"98",98,"M","Biosciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",574,"First degree"
"99",99,"M","Performing arts",3,"EDUCATION",5,"EDUCATION",840,"First degree"
"100",100,"M","Sociology, social policy and anthropology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1209,"First degree"
"101",101,"M","Computing",3,"EDUCATION",5,"EDUCATION",1296,"First degree"
"102",102,"M","Business and management",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1967,"First degree"
"103",103,"M","Creative arts and design",3,"MANUFACTURING",5,"MANUFACTURING",481,"First degree"
"104",104,"M","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1528,"First degree"
"105",105,"F","Mathematical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",686,"First degree"
"106",106,"M","Business and management",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1914,"First degree"
"107",107,"F","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",378,"First degree"
"108",108,"F","Economics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",452,"First degree"
"109",109,"M","Business and management",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",83,"First degree"
"110",110,"F","Philosophy and religious studies",3,"EDUCATION",5,"EDUCATION",2308,"First degree"
"111",111,"M","Mathematical sciences",3,"EDUCATION",5,"EDUCATION",2015,"First degree"
"112",112,"F","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",732,"First degree"
"113",113,"F","English studies",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",717,"First degree"
"114",114,"M","Mathematical sciences",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",140,"First degree"
"115",115,"F","Creative arts and design",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1074,"First degree"
"116",116,"F","Creative arts and design",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",253,"First degree"
"117",117,"F","Media, journalism and communications",3,"EDUCATION",5,"EDUCATION",16,"First degree"
"118",118,"F","Law",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",575,"First degree"
"119",119,"M","English studies",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",362,"First degree"
"120",120,"F","Psychology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1790,"First degree"
"121",121,"F","English studies",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1851,"First degree"
"122",122,"F","Sociology, social policy and anthropology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1592,"First degree"
"123",123,"F","Allied health",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",7,"First degree"
"124",124,"M","Media, journalism and communications",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1364,"First degree"
"125",125,"F","Pharmacology, toxicology and pharmacy",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",971,"First degree"
"126",126,"M","History and archaeology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1229,"First degree"
"127",127,"F","History and archaeology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1007,"First degree"
"128",128,"F","Education and teaching",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",2311,"First degree"
"129",129,"F","Economics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",213,"First degree"
"130",130,"F","Business and management",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",671,"First degree"
"131",131,"M","History and archaeology",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1170,"First degree"
"132",132,"M","Creative arts and design",3,"EDUCATION",5,"EDUCATION",1101,"First degree"
"133",133,"M","Medical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",39,"First degree"
"134",134,"F","Law",3,"EDUCATION",5,"EDUCATION",429,"First degree"
"135",135,"F","Sociology, social policy and anthropology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",655,"First degree"
"136",136,"M","History and archaeology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1047,"First degree"
"137",137,"F","Veterinary sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",6,"First degree"
"138",138,"M","Sport and exercise sciences",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",162,"First degree"
"139",139,"M","History and archaeology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1565,"First degree"
"140",140,"F","Psychology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",360,"First degree"
"141",141,"F","Languages and area studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1991,"First degree"
"142",142,"F","Engineering",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",294,"First degree"
"143",143,"M","Engineering",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1704,"First degree"
"144",144,"M","Computing",3,"MANUFACTURING",5,"MANUFACTURING",529,"First degree"
"145",145,"F","Performing arts",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",193,"First degree"
"146",146,"M","Architecture, building and planning",3,"REAL ESTATE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",1094,"First degree"
"147",147,"F","Politics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",154,"First degree"
"148",148,"M","Languages and area studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1960,"First degree"
"149",149,"M","Computing",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",3068,"First degree"
"150",150,"F","Health and social care",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",570,"First degree"
"151",151,"F","History and archaeology",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1917,"First degree"
"152",152,"M","Business and management",3,"REAL ESTATE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",1285,"First degree"
"153",153,"F","Architecture, building and planning",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1115,"First degree"
"154",154,"F","Psychology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1732,"First degree"
"155",155,"F","Law",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",597,"First degree"
"156",156,"M","Politics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",121,"First degree"
"157",157,"F","Computing",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",415,"First degree"
"158",158,"M","English studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",820,"First degree"
"159",159,"F","Languages and area studies",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",1962,"First degree"
"160",160,"F","Combined and general studies",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",986,"First degree"
"161",161,"M","Business and management",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",1478,"First degree"
"162",162,"F","Education and teaching",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",225,"First degree"
"163",163,"M","Biosciences",3,"EDUCATION",5,"EDUCATION",1775,"First degree"
