,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
82,F,Creative arts and design,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,320,First degree
83,M,Mathematical sciences,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,315,First degree
84,F,Mathematical sciences,3,EDUCATION,5,EDUCATION,315,First degree
85,M,Biosciences,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",315,First degree
86,M,"Sociology, social policy and anthropology",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,315,First degree
87,M,History and archaeology,3,EDUCATION,5,EDUCATION,315,First degree
88,F,Languages and area studies,3,EDUCATION,5,EDUCATION,305,First degree
89,M,History and archaeology,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,305,First degree
90,M,Business and management,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,305,First degree
91,M,Performing arts,3,EDUCATION,5,EDUCATION,300,First degree
92,M,Mathematical sciences,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",300,First degree
93,M,Medical sciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,295,First degree
94,F,Creative arts and design,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,290,First degree
95,M,Performing arts,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,285,First degree
96,M,Sport and exercise sciences,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,285,First degree
97,F,Allied health,3,EDUCATION,5,EDUCATION,285,First degree
98,F,Creative arts and design,3,MANUFACTURING,5,MANUFACTURING,285,First degree
99,M,Business and management,3,EDUCATION,5,EDUCATION,275,First degree
100,F,"Sociology, social policy and anthropology",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,270,First degree
101,F,"Media, journalism and communications",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,270,First degree
102,F,Business and management,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,270,First degree
103,F,"Sociology, social policy and anthropology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",270,First degree
104,F,Performing arts,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,260,First degree
105,F,Engineering,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",260,First degree
106,M,Sport and exercise sciences,3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",260,First degree
107,F,Allied health,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,255,First degree
108,F,English studies,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,255,First degree
109,M,Sport and exercise sciences,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,255,First degree
110,M,Engineering,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,250,First degree
111,F,"Media, journalism and communications",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",250,First degree
112,M,"Media, journalism and communications",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,250,First degree
113,M,Politics,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,250,First degree
114,M,Computing,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,250,First degree
115,F,Business and management,3,TRANSPORTATION AND STORAGE,5,TRANSPORTATION AND STORAGE,245,First degree
116,M,Business and management,3,REAL ESTATE ACTIVITIES,5,REAL ESTATE ACTIVITIES,245,First degree
117,F,Languages and area studies,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",240,First degree
118,F,Psychology,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,235,First degree
119,F,History and archaeology,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,230,First degree
120,F,Computing,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,230,First degree
121,F,English studies,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,225,First degree
122,M,Creative arts and design,3,MANUFACTURING,5,MANUFACTURING,225,First degree
123,M,Sport and exercise sciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,225,First degree
124,M,Biosciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,220,First degree
125,M,Mathematical sciences,3,EDUCATION,5,EDUCATION,220,First degree
126,M,Computing,3,EDUCATION,5,EDUCATION,215,First degree
127,F,Nursing and midwifery,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,215,First degree
128,F,History and archaeology,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,215,First degree
129,F,Health and social care,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,215,First degree
130,F,"Geography, earth and environmental studies",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,215,First degree
131,M,English studies,3,EDUCATION,5,EDUCATION,215,First degree
132,F,Mathematical sciences,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,215,First degree
133,M,Engineering,3,TRANSPORTATION AND STORAGE,5,TRANSPORTATION AND STORAGE,215,First degree
134,F,Mathematical sciences,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",210,First degree
135,F,Performing arts,3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",210,First degree
136,F,Nursing and midwifery,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,205,First degree
137,F,Business and management,3,REAL ESTATE ACTIVITIES,5,REAL ESTATE ACTIVITIES,200,First degree
138,M,Physics and astronomy,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,200,First degree
139,M,Performing arts,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,200,First degree
140,M,Computing,3,MANUFACTURING,5,MANUFACTURING,200,First degree
141,F,Law,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,195,First degree
142,F,Law,3,EDUCATION,5,EDUCATION,195,First degree
143,F,Sport and exercise sciences,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,195,First degree
144,F,Philosophy and religious studies,3,EDUCATION,5,EDUCATION,195,First degree
145,F,Economics,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,195,First degree
146,M,History and archaeology,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,195,First degree
147,F,Creative arts and design,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,190,First degree
148,M,Politics,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",185,First degree
149,M,Engineering,3,MANUFACTURING,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",185,First degree
150,M,Creative arts and design,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,185,First degree
151,M,Economics,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,185,First degree
152,M,History and archaeology,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,185,First degree
153,F,Engineering,3,MANUFACTURING,5,MANUFACTURING,185,First degree
154,F,Psychology,3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,185,First degree
155,F,"Sociology, social policy and anthropology",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,180,First degree
156,M,Law,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,180,First degree
157,M,Sport and exercise sciences,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,180,First degree
158,M,Physics and astronomy,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",180,First degree
159,F,English studies,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,180,First degree
160,F,Psychology,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,180,First degree
161,F,History and archaeology,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,175,First degree
162,M,Computing,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,175,First degree
163,F,Economics,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",175,First degree
164,M,Business and management,3,CONSTRUCTION,5,CONSTRUCTION,175,First degree
165,F,Performing arts,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,175,First degree
166,M,Creative arts and design,3,EDUCATION,5,EDUCATION,175,First degree
167,M,"Geography, earth and environmental studies",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,175,First degree
168,F,Biosciences,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,170,First degree
169,M,History and archaeology,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,170,First degree
170,M,Computing,3,INFORMATION AND COMMUNICATION,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",170,First degree
171,F,"Sociology, social policy and anthropology",3,FINANCIAL AND INSURANCE ACTIVITIES,5,FINANCIAL AND INSURANCE ACTIVITIES,170,First degree
172,F,Performing arts,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,170,First degree
173,M,Chemistry,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",170,First degree
174,F,Performing arts,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,165,First degree
175,M,Performing arts,3,INFORMATION AND COMMUNICATION,5,INFORMATION AND COMMUNICATION,165,First degree
176,F,Education and teaching,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,165,First degree
177,F,Politics,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,165,First degree
178,F,Education and teaching,3,EDUCATION,5,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,165,First degree
179,M,Chemistry,3,MANUFACTURING,5,MANUFACTURING,160,First degree
180,F,Education and teaching,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,EDUCATION,160,First degree
