"","sex.x","subject_name","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"73","M","Mathematical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",360,"First degree"
"74","F","Psychology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",355,"First degree"
"75","F","English studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",350,"First degree"
"76","F","Languages and area studies",3,"EDUCATION",5,"EDUCATION",340,"First degree"
"77","M","Computing",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",335,"First degree"
"78","F","Geography, earth and environmental studies",3,"EDUCATION",5,"EDUCATION",335,"First degree"
"79","F","Media, journalism and communications",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",335,"First degree"
"80","M","Performing arts",3,"EDUCATION",5,"EDUCATION",330,"First degree"
"81","F","Veterinary sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",330,"First degree"
"82","F","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",325,"First degree"
"83","M","Biosciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",325,"First degree"
"84","F","Creative arts and design",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",320,"First degree"
"85","M","Engineering",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",320,"First degree"
"86","F","Creative arts and design",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",315,"First degree"
"87","M","Sociology, social policy and anthropology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",310,"First degree"
"88","M","Sport and exercise sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",310,"First degree"
"89","M","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",305,"First degree"
"90","F","Education and teaching",3,"EDUCATION",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",305,"First degree"
"91","M","History and archaeology",3,"EDUCATION",5,"EDUCATION",305,"First degree"
"92","M","Business and management",3,"EDUCATION",5,"EDUCATION",300,"First degree"
"93","F","Sociology, social policy and anthropology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",300,"First degree"
"94","F","Creative arts and design",3,"MANUFACTURING",5,"MANUFACTURING",295,"First degree"
"95","F","Media, journalism and communications",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",295,"First degree"
"96","M","Mathematical sciences",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",290,"First degree"
"97","F","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",290,"First degree"
"98","M","Business and management",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",290,"First degree"
"99","M","Medical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",285,"First degree"
"100","F","Allied health",3,"EDUCATION",5,"EDUCATION",280,"First degree"
"101","F","Mathematical sciences",3,"EDUCATION",5,"EDUCATION",280,"First degree"
"102","M","Sport and exercise sciences",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",280,"First degree"
"103","F","Psychology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",275,"First degree"
"104","M","Computing",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",270,"First degree"
"105","F","Languages and area studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",270,"First degree"
"106","F","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",265,"First degree"
"107","F","Sociology, social policy and anthropology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",260,"First degree"
"108","F","Business and management",3,"TRANSPORTATION AND STORAGE",5,"TRANSPORTATION AND STORAGE",260,"First degree"
"109","M","Creative arts and design",3,"MANUFACTURING",5,"MANUFACTURING",260,"First degree"
"110","M","Business and management",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",260,"First degree"
"111","F","Allied health",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",260,"First degree"
"112","F","Performing arts",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",255,"First degree"
"113","F","English studies",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",255,"First degree"
"114","M","Business and management",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",255,"First degree"
"115","F","Business and management",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",250,"First degree"
"116","M","Media, journalism and communications",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",250,"First degree"
"117","M","Business and management",3,"REAL ESTATE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",240,"First degree"
"118","M","History and archaeology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",240,"First degree"
"119","M","Computing",3,"EDUCATION",5,"EDUCATION",240,"First degree"
"120","F","Creative arts and design",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",235,"First degree"
"121","F","Engineering",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",235,"First degree"
"122","F","Economics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",235,"First degree"
"123","M","Performing arts",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",230,"First degree"
"124","F","Mathematical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",230,"First degree"
"125","F","Education and teaching",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",230,"First degree"
"126","F","History and archaeology",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",230,"First degree"
"127","F","Law",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",225,"First degree"
"128","F","Computing",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",225,"First degree"
"129","F","History and archaeology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",225,"First degree"
"130","M","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",225,"First degree"
"131","M","Politics",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",225,"First degree"
"132","M","History and archaeology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",220,"First degree"
"133","M","Engineering",3,"TRANSPORTATION AND STORAGE",5,"TRANSPORTATION AND STORAGE",220,"First degree"
"134","F","History and archaeology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",220,"First degree"
"135","M","Mathematical sciences",3,"EDUCATION",5,"EDUCATION",215,"First degree"
"136","M","Sport and exercise sciences",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",215,"First degree"
"137","M","History and archaeology",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",215,"First degree"
"138","M","English studies",3,"EDUCATION",5,"EDUCATION",210,"First degree"
"139","F","Law",3,"EDUCATION",5,"EDUCATION",210,"First degree"
"140","F","Business and management",3,"REAL ESTATE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",210,"First degree"
"141","M","Sport and exercise sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",205,"First degree"
"142","F","Economics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",205,"First degree"
"143","M","Computing",3,"MANUFACTURING",5,"MANUFACTURING",205,"First degree"
"144","F","Health and social care",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",200,"First degree"
"145","F","Pharmacology, toxicology and pharmacy",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",200,"First degree"
"146","F","Philosophy and religious studies",3,"EDUCATION",5,"EDUCATION",200,"First degree"
"147","M","History and archaeology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",195,"First degree"
"148","F","Psychology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",195,"First degree"
"149","M","English studies",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",195,"First degree"
"150","F","English studies",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",190,"First degree"
"151","M","Performing arts",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",190,"First degree"
"152","M","Creative arts and design",3,"EDUCATION",5,"EDUCATION",190,"First degree"
"153","F","Sociology, social policy and anthropology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",190,"First degree"
"154","M","Politics",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",190,"First degree"
"155","M","Biosciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",190,"First degree"
"156","M","Performing arts",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",190,"First degree"
"157","M","Creative arts and design",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",190,"First degree"
"158","F","Engineering",3,"MANUFACTURING",5,"MANUFACTURING",185,"First degree"
"159","F","Sociology, social policy and anthropology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",185,"First degree"
"160","F","Education and teaching",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",185,"First degree"
"161","F","Performing arts",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",185,"First degree"
"162","M","Physics and astronomy",3,"INFORMATION AND COMMUNICATION",5,"INFORMATION AND COMMUNICATION",185,"First degree"
"163","F","Sport and exercise sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",185,"First degree"
"164","F","Performing arts",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",185,"First degree"
"165","M","Media, journalism and communications",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",180,"First degree"
"166","M","Engineering",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",180,"First degree"
"167","M","Physics and astronomy",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",175,"First degree"
"168","M","Geography, earth and environmental studies",3,"EDUCATION",5,"EDUCATION",175,"First degree"
"169","M","Chemistry",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",175,"First degree"
"170","F","English studies",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",175,"First degree"
"171","F","Media, journalism and communications",3,"EDUCATION",5,"EDUCATION",175,"First degree"
"172","M","Psychology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",170,"First degree"
